row_index,review_text,cleaned_review,sentiment,predicted_sentiment,prediction_confidence,is_correct,issue,matched_rules,audit_note
2055,Chất liệu: vải Màu sắc: đen Đúng với mô tả: đúng Tôi muốn hỏi là khi mô hình như là một trong những ngày trước bạn có thể làm,chất liệu vải màu sắc đen đúng với mô tả đúng tôi muốn hỏi là khi mô hình như là một trong những ngày trước bạn có thể làm,positive,positive,0.35432603519358097,True,no_issue,,
4756,Mềm dẻo: dung deo de tach Giòn: ok Cảm giác hành phi kp 100% từ hành như shop ghi ăn gần hết thấy bị sạn có vài viên sạn nhỏ tí Bánh tráng ngon mềm dẻo Sốt ngon 0:06,mềm dẻo dung deo de tach giòn ok cảm giác hành phi kp 100 từ hành như shop ghi ăn gần hết thấy bị sạn có vài viên sạn nhỏ tí bánh tráng ngon mềm dẻo sốt ngon 0 06,neutral,positive,0.35782908636878513,False,product_quality,,
2552,"Chất lượng sản phẩm: Tốt Đúng với mô tả: Đúng Nhận hàng đúng mô tả, sản phẩm giống mẫu, pin giao 100%, sạc vào pin đt, giá hợp lý, còn pin tốt hay không chưa sài nên chưa biết. Giao hàng nhanh. Gói hàng thiếu sốp dễ va đập 0:31",chất lượng san pham tốt đúng với mô tả đúng nhận hàng đúng mô tả san pham giống mẫu pin giao 100 sạc vào pin đt giá hợp lý còn pin tốt hay khong chua sài nên chua biết giao hàng nhanh gói hàng thiếu shop dễ va đập 0 31,negative,negative,0.35834695054332294,True,packaging,negative_loi_hong,
146,"Chất liệu cũng bình thuờng thôi ạ, cũng như hàng ngoài chợ ạ, hàng to hơn giá rẻ hơn, mà mua k tốn ship tiện khỏi đi mua. 0:04 1 toan17tb",chất liệu cũng bình thuờng thôi ạ cũng như hàng ngoài chợ ạ hàng to hơn giá rẻ hơn mà mua khong tốn ship tiện khỏi đi mua 0 04 1 toan17tb,neutral,negative,0.3605165393830927,False,no_issue,negative_loi_hong,neutral_but_has_clear_negative_signal
2244,Màu sắc: hồng Đúng với mô tả: chật độ co dãn ít chất vải phù hợp với giá tiền nhưng độ co dãn ít . mình mặc size s nhưng mua size về mặc lại không vừa hơi chật 0:21,màu sắc hồng đúng với mô tả chật độ co dãn ít chất vải phù hợp với giá tiền nhưng độ co dãn ít mình mặc size s nhưng mua size về mặc lại khong vừa hơi chật 0 21,negative,negative,0.3623355141815154,True,product_attribute,negative_loi_hong,
225,"Giao hàng nhanh chóng, đóng bọc cẩn thận lắm ạ, mỗi tội shop giới hạn ko cho mua nhiều hay sao ấy, mình thích màu bạc nhưg mà hết, thôi mua tạm cam, bh lên deal bạc giá tôt mua sau 0:49",giao hàng nhanh chóng đóng bọc cẩn thận lắm ạ mỗi tội shop giới hạn khong cho mua nhiều hay sao ấy mình thích màu bạc nhưg mà hết thôi mua tạm cam bh lên deal bạc giá tôt mua sau 0 49,positive,positive,0.3678112185937247,True,no_issue,negative_loi_hong,
2012,t m54 51kg nhưng vai khá rộng thấy sáng suốt chọn size XL mặc thoải mái cực ý. size L t cx mua mà bin chật nách khó chiệu. ncl ưng lắm vải co giãn mátt mê cực nhma trừ 1c là giặt máy 1 lần đã hơi xù r hic nhìn k như bdau. này phải giặt tay các bác ạ,t m54 51kg nhưng vai khá rộng thấy sáng suốt chọn size xl mặc thoải mái cực ý size l t cx mua mà bin chật nách khó chiệu ncl ưng lắm vải co giãn mátt mê cực nhma trừ 1c là giặt máy 1 lần đã hơi xù r hic nhìn khong như bdau này phải giặt tay các bác ạ,positive,negative,0.3746249899883764,False,product_quality,negative_loi_hong,
4024,"Công dụng: lam trang Dành cho da: moi loai da Mùi hương: thom de chiu Sản phẩm oke nhé mn, hình ảnh chỉ mang tính chất minh hoạ",công dụng lam trang dành cho da moi loai da mùi hương thom de chiu san pham oke nhé moi nguoi hình ảnh chỉ mang tính chất minh hoạ,positive,neutral,0.3807920600041113,False,no_issue,,
1439,Hàng quá rẻ so với chất lượng,hàng quá rẻ so với chất lượng,positive,positive,0.38225332842590065,True,no_issue,,
5008,Có sỏi trong ruốc tép hành phi. Bên cửa hàng nên cẩn thân hơn trong quá trình đóng gói,có sỏi trong ruốc tép hành phi bên cửa hàng nên cẩn thân hơn trong quá trình đóng gói,negative,negative,0.38433864073883245,True,product_quality,,
2138,Chất liệu: mềm Màu sắc: giống như trong hình ảnh Mặc vào mát không quá nóng khoải mái,chất liệu mềm màu sắc giống như trong hình ảnh mặc vào mát khong quá nóng khoải mái,positive,negative,0.38504487440398294,False,no_issue,negative_loi_hong,
3940,Dành cho da: thường Công dụng: làm trắng Mùi hương: thơmnhej ⛔️⛔️⛔️ .Ngày nào cũng đi hơn chục lọ Chắc 50 lọ vừa xg hqua ko đủ đến Lễ luôn ý chắc vẫn fai lấy hàng chuyến nữa. Nên khách ai có ý định lấy nhiều về #làm_quà dịp Lễ 2☆9 thì báo e sớm nhé ko sợ cháy hàng ko có món ngon oánh chén là tiếc lắm đấy ạ. ✅️ Thịt chua e bán 50k/lọ ✅️ Hạn sử dụng : 2 tháng chuẩn Trường Food nên khách cứ yên tâm bỏ tủ chén dần thôi này. ☎️ Ib e Ngân luôn nào.,dành cho da thường công dụng làm trắng mùi hương thơmnhej ngày nào cũng đi hơn chục lọ chắc 50 lọ vừa xg hqua khong đủ đến lễ luôn ý chắc vẫn fai lấy hàng chuyến nữa nên khách ai có ý định lấy nhiều về làm quà dịp lễ 2 9 thì báo e sớm nhé khong sợ cháy hàng khong có món ngon oánh chén là tiếc lắm đấy ạ thịt chua e bán 50k lọ hạn sử dụng 2 tháng chuẩn trường food nên khách cứ yên tâm bỏ tủ chén dần thôi này ib e ngân luôn nào,neutral,neutral,0.38559256027193056,True,spam_irrelevant,negative_loi_hong,neutral_but_has_clear_negative_signal
5537,0:15 1 thuphngg387,0 15 1 thuphngg387,neutral,negative,0.38670616446311085,False,spam_irrelevant,negative_loi_hong,neutral_but_has_clear_negative_signal
4802,Lần này mua là lần thứ 3 rồi nên k cần nhận xét nhiều về chất lượng nữa ^^ 0:06,lần này mua là lần thứ 3 rồi nên khong cần nhận xét nhiều về chất lượng nữa 0 06,neutral,negative,0.38766883844187283,False,no_issue,negative_loi_hong,neutral_but_has_clear_negative_signal
1800,"Mua áp mã các kiểu mà có 70k, chất áo đẹp chứ k bị mỏng, mình k biết chất gì nma khác hẳn so với các shop khác. Cá nhân mình ưng chất này vì có vẻ sẽ k bị dão, em mình m76 75kg mặc thử nhìn giống áo mấy ng tập gym hay mặc í chứ k bị ngắn hay kích đâu 0:13",mua áp mã các kiểu mà có 70k chất áo đẹp chứ khong bị mỏng mình khong biết chất gì nma khác hẳn so với các shop khác cá nhân mình ưng chất này vì có vẻ sẽ khong bị dão em mình m76 75kg mặc thử nhìn giống áo mấy ng tập gym hay mặc í chứ khong bị ngắn hay kích đâu 0 13,positive,positive,0.3907633716601597,True,no_issue,negative_loi_hong,
3414,Làm đẹp: son Mẹo: son Bao bì: bt Săn sale có 70ka 1 cây Màu này dễ đánh lắm Mà nhanh trôi nhanh hết sonnnnn 0:07,làm đẹp son mẹo son bao bì binh thuong săn sale có 70ka 1 cây màu này dễ đánh lắm mà nhanh trôi nhanh hết sonnnnn 0 07,positive,neutral,0.39179573099451337,False,product_quality,neutral_tam_binh_thuong;negative_loi_hong,positive_but_has_neutral_or_mixed_signal
2672,Chất lượng sản phẩm: ko Đúng với mô tả: ok Không có thời gian qua bố ik chs vs m nx đâu là mẫu xe của bạn chính xác là một biểu tượng của m cx v còn j 0:09,chất lượng san pham khong đúng với mô tả ok khong có thời gian qua bố ik chs vs m nx đâu là mẫu xe của bạn chính xác là một biểu tượng của m cx v còn j 0 09,neutral,negative,0.3925271921150654,False,spam_irrelevant,negative_loi_hong,neutral_but_has_clear_negative_signal
4979,"Hương vị: ngon Trong hủ muối ruốc lâu lâu có hột sạn, cắn trúng muốn mẻ răng luôn, nhưng vẫn ngon nha, mong shop lần sau khắc phục chuyện này.",hương vị ngon trong hủ muối ruốc lâu lâu có hột sạn cắn trúng muốn mẻ răng luôn nhưng vẫn ngon nha mong shop lần sau khắc phục chuyện này,negative,negative,0.39341989039943365,True,product_quality,negative_loi_hong,
4539,rất rễ dơi mất. mới đeo chiều sáng hôm sau đã bị dơi. nhỏ nhỏ xinh xinh,rất rễ dơi mất mới đeo chiều sáng hôm sau đã bị dơi nhỏ nhỏ xinh xinh,negative,negative,0.39633347033376026,True,product_attribute,,
581,Sảm phẩm oke giá hợp lý. Tiếc là ko cho đồng kiểm,sảm phẩm oke giá hợp lý tiếc là khong cho đồng kiểm,positive,negative,0.3992006582758535,False,no_issue,negative_loi_hong,
3805,Độ bền màu: ko bt Công dụng: chét lên mỏ hàng ok tốt shipper zô duyên nhìu chuyện mik nhờ ng nhà nhận hàng dùm ng nhà nói mik lại shipper nói mua j z r mua z chi nó con trai mua chi z -4⭐️,độ bền màu khong binh thuong công dụng chét lên mỏ hàng ok tốt shipper zô duyên nhìu chuyện mik nhờ ng nhà nhận hàng dùm ng nhà nói mik lại shipper nói mua j z r mua z chi nó con trai mua chi z 4,positive,negative,0.39934984356872416,False,shipping_delivery,neutral_tam_binh_thuong;negative_loi_hong,positive_but_has_neutral_or_mixed_signal
2973,Đúng với mô tả: z Chất lượng sản phẩm: đóng hàng cẩn thận Kính trống trộm hơi kém vẫn còn nhìn được từ 2 bên,đúng với mô tả z chất lượng san pham đóng hàng cẩn thận kính trống trộm hơi kém vẫn còn nhìn duoc từ 2 bên,neutral,neutral,0.4005519853694392,True,product_quality,,
4558,"Đúng với mô tả: uh Chất liệu: bac Màu sắc: uh Mình thà sống độc thân... Mình đi học, đi chơi, đi làm, thức khuya, lười ăn, giấu tâm sự, mình thà sống một mình chứ không dựa vào tình yêu, không dùng ai để thay thế cả... Mình phải tập chữa lành những vết thương, phải tập sống tử tế.... Mình không nỡ làm tổn thương ai cả,vì mình biết những tổn thương đó khó có thể vượt qua🖤 0:19",đúng với mô tả uh chất liệu bac màu sắc uh mình thà sống độc thân mình đi học đi chơi đi làm thức khuya lười ăn giấu tâm sự mình thà sống một mình chứ khong dựa vào tình yêu khong dùng ai để thay thế cả mình phải tập chữa lành những vết thương phải tập sống tử tế mình khong nỡ làm tổn thương ai cả vì mình biết những tổn thương đó khó có thể vượt qua 0 19,negative,negative,0.4009860120902817,True,spam_irrelevant,negative_loi_hong,spam_irrelevant_not_neutral
4860,Đúng với mô tả: khá nhỏ không bền,đúng với mô tả khá nhỏ khong bền,neutral,negative,0.40321274023991444,False,product_attribute,negative_loi_hong,neutral_but_has_clear_negative_signal
3457,Kinh nghiệm sử dụng: khong biet Lợi ích: son moi Bao bì: binh thuong Giao hàng nhanh Đóng gói cẩn thận Màu này nghe review nhiều nhưng không hợp với mình lắm Hơi trầm 0:09,kinh nghiệm sử dụng khong biet lợi ích son moi bao bì binh thuong giao hàng nhanh đóng gói cẩn thận màu này nghe review nhiều nhưng khong hợp với mình lắm hơi trầm 0 09,negative,negative,0.40409760823047947,True,product_attribute,neutral_tam_binh_thuong;negative_loi_hong,negative_may_be_mild_or_neutral
3813,Độ bền màu: tốt sau khi sử dụng sản phẩm 1 thời gian thì bị chàm môi gây ngứa và bong da 0:07,độ bền màu tốt sau khi sử dụng san pham 1 thời gian thì bị chàm môi gây ngứa và bong da 0 07,negative,neutral,0.4045209134107973,False,product_quality,,
3009,San pham chat luong kem,san pham chat luong kem,negative,positive,0.40766397780785624,False,product_quality,,
3119,"ốp mỏng dẻo, nhưng là ốp thuộc hàng lỗi",ốp mỏng dẻo nhưng là ốp thuộc hàng lỗi,negative,negative,0.408360855425921,True,product_quality,negative_loi_hong,
3977,"Công dụng: chống thâm nách Dành cho da: mọiloaij da Mùi hương: dễ chịu Mùi hương dễ chịu , nói chung mới sài nên ko biết có công dụng nhiều ko , hỳ vong mang lại kết quả tốt",công dụng chống thâm nách dành cho da mọiloaij da mùi hương dễ chịu mùi hương dễ chịu nói chung mới sài nên khong biết có công dụng nhiều khong hỳ vong mang lại kết quả tốt,positive,negative,0.4089018413942253,False,no_issue,negative_loi_hong,
3841,"Độ bền màu: good Công dụng: make color, improve mental health, highlight our lip .",độ bền màu good công dụng make color improve mental health highlight our lip,positive,neutral,0.4090308327932285,False,no_issue,,
1998,"Đúng với mô tả: 👍 Chất liệu: vải cotton Màu sắc: xám tiêu Áo đẹp vải cũng đẹp, mà chỗ cổ áo may hơi 6 á, kiểu nhìn giống bị lỗi, còn lại thì mặc lên đẹp không có gì hết á 1:01",đúng với mô tả chất liệu vải cotton màu sắc xám tiêu áo đẹp vải cũng đẹp mà chỗ cổ áo may hơi 6 á kiểu nhìn giống bị lỗi còn lại thì mặc lên đẹp khong có gì hết á 1 01,negative,positive,0.4124246010695323,False,product_quality,negative_loi_hong,
3519,Màu son rất đẹp nha. Check mã vạch thì không thấy hiện sản phẩm nên cx không biết hàng tht hay không 0:08,màu son rất đẹp nha check mã vạch thì khong thấy hiện san pham nên cx khong biết hàng tht hay khong 0 08,neutral,positive,0.4132300378683578,False,product_quality,negative_loi_hong,neutral_but_has_clear_negative_signal
2597,Dưa chuột nếp tươi ngon 10k/kg Xoài keo vàng 12k/kg E sẵn ak☺️☺️,dưa chuột nếp tươi ngon 10k kg xoài keo vàng 12k kg e sẵn ak,neutral,negative,0.4136927312392367,False,spam_irrelevant,negative_loi_hong,neutral_but_has_clear_negative_signal
3597,"Mùi hương: dịu nhẹ Phù hợp với loại da: đối với tôi là da bình thường Công dụng: sáng da nhưng phải dùng thường xuyên, cộng thêm tẩy tế bào chết nữa Mình thấy kem dưỡng da GlowCode giá khá rẻ, chất kem mỏng, dễ thấm và mùi cũng dễ chịu. Thành phần có niacinamide và chiết xuất dâu tằm nghe, vùng da thâm gần như không cải thiện, thậm chí có người còn thấy sạm hơn. Nói chung nếu mua để thử thì ok á vì giá rẻ. 0:05",mùi hương dịu nhẹ phù hợp với loại da đối với tôi là da binh thuong công dụng sáng da nhưng phải dùng thường xuyên cộng thêm tẩy tế bào chết nữa mình thấy kem dưỡng da glowcode giá khá rẻ chất kem mỏng dễ thấm và mùi cũng dễ chịu thành phần có niacinamide và chiết xuất dâu tằm nghe vùng da thâm gần như khong cải thiện thậm chí có người còn thấy sạm hơn nói chung nếu mua để thử thì ok á vì giá rẻ 0 05,positive,positive,0.41953889159539615,True,no_issue,neutral_tam_binh_thuong;negative_loi_hong,positive_but_has_neutral_or_mixed_signal
4068,Mẹo: bóp 1 ít kem bôi lên phần bị thâm Kinh nghiệm sử dụng: . Làm đẹp: da bị thâm Mùi thơm lắm nhưng mà dùng thấy k đỡ lâm lên mấy 0:04,mẹo bóp 1 ít kem bôi lên phần bị thâm kinh nghiệm sử dụng làm đẹp da bị thâm mùi thơm lắm nhưng mà dùng thấy khong đỡ lâm lên mấy 0 04,negative,neutral,0.4198356458381289,False,product_quality,negative_loi_hong,
4806,"Tui vừa giao về thì tối đó đã ăn hết luôn r nên ko có hình nhưng ăn khá ngon, nếu ăn 1 mình thì chắc đc nhiều ngày á, khá OK có thể mua lại 0:30",tui vừa giao về thì tối đó đã ăn hết luôn r nên khong có hình nhưng ăn khá ngon nếu ăn 1 mình thì chắc duoc nhiều ngày á khá ok có thể mua lại 0 30,positive,positive,0.42026657932220474,True,no_issue,negative_loi_hong,
4811,"Bánh tráng mềm, dẻo, sốt mặn mặn béo béo, nước tắc rất vừa miệng. Duy chỉ có ruốc tép là hơi mặn so với khẩu vị 0:12 0:04",bánh tráng mềm dẻo sốt mặn mặn béo béo nước tắc rất vừa miệng duy chỉ có ruốc tép là hơi mặn so với khẩu vị 0 12 0 04,positive,neutral,0.4212628239832766,False,product_quality,,
3441,"Công dụng: trang điểm môi Độ bền màu: 3/10 Màu lên môi mình bị hồng tươi quá nên trông quê lắm. Được cái giao nhanh, mùi son thơm như mùi kẹo béo vị dâu vậy. Son không bám không có lớp tint gì luôn ấy. QUAN TRỌNG son bị dính răng nhiều lắm. Trước mình dùng son lì của BR không bị dính răng bao giờ. Dùng cái này k để ý là quê xệ luôn :) 0:07",công dụng trang điểm môi độ bền màu 3 10 màu lên môi mình bị hồng tươi quá nên trông quê lắm duoc cái giao nhanh mùi son thơm như mùi kẹo béo vị dâu vậy son khong bám khong có lớp tint gì luôn ấy quan trọng son bị dính răng nhiều lắm trước mình dùng son lì của br khong bị dính răng bao giờ dùng cái này khong để ý là quê xệ luôn 0 07,negative,negative,0.4236327988263344,True,product_quality,negative_loi_hong,
3905,Độ bền màu: chê,độ bền màu chê,negative,neutral,0.42395646513146557,False,product_quality,,
3658,"Công dụng: trị thâm nách Phù hợp với loại da: all Mùi hương: thơm Đánh giá Shopee là một phần quan trọng của trải nghiệm mua sắm trực tuyến, cho phép người mua chia sẻ trải nghiệm của họ về sản phẩm và dịch vụ, và giúp người bán cải thiện chất lượng. Người mua có thể đánh giá sản phẩm và shop bằng cách chấm điểm sao và viết nhận xét, kèm theo hình ảnh hoặc video nếu muốn, và có thể chỉnh sửa đánh giá trong một khoảng thời gian nhất định. 0:06",công dụng trị thâm nách phù hợp với loại da all mùi hương thơm đánh giá shopee là một phần quan trọng của trải nghiệm mua sắm trực tuyến cho phép người mua chia sẻ trải nghiệm của họ về san pham và dịch vụ và giúp người bán cải thiện chất lượng người mua có thể đánh giá san pham và shop bằng cách chấm điểm sao và viết nhận xét kèm theo hình ảnh hoặc video nếu muốn và có thể chỉnh sửa đánh giá trong một khoảng thời gian nhất định 0 06,positive,positive,0.4253019565482047,True,no_issue,,
1497,"Hàg ok . Đã mua vài lần, phu hop giá tien. Nhah bong . Ship giao nhah 0:05",hàg ok đã mua vài lần phu hop giá tien nhah bong ship giao nhah 0 05,positive,neutral,0.4290071018766327,False,no_issue,negative_loi_hong,
4749,"Hương vị: ngonn vị bên catsky thì ngon phải biết rùi, một combo vừa đủ ăn, muối ruốc hành phi, bơ,…mọi thứ đều đậm đà nhưng vẫn ko quá mặn. Sốt tắc shop làm cũng ngon, chuẩn vị nhà làm nha. Tuy nhiên, về phần đóng gói thì sốt tắc có vẻ seal chưa được kĩ nên lúc ship tới bị đổ ra ngoài một ít, dính lên sấp bánh tráng và hũ ruốc. Mình mong shop có thể cải thiện phần này, may mình ở HCM qua ngày là nhận rồi nên không bị đổ nhiều, nếu ship xa hơn chút thì hơi nguy ạ.",hương vị ngonn vị bên catsky thì ngon phải biết rùi một combo vừa đủ ăn muối ruốc hành phi bơ mọi thứ đều đậm đà nhưng vẫn khong quá mặn sốt tắc shop làm cũng ngon chuẩn vị nhà làm nha tuy nhiên về phần đóng gói thì sốt tắc có vẻ seal chua duoc kĩ nên lúc ship tới bị đổ ra ngoài một ít dính lên sấp bánh tráng và hũ ruốc mình mong shop có thể cải thiện phần này may mình ở hcm qua ngày là nhận rồi nên khong bị đổ nhiều nếu ship xa hơn chút thì hơi nguy ạ,positive,positive,0.42938085834534595,True,packaging,negative_loi_hong,
987,"Đúng với mô tả: khá đúng Chất lượng sản phẩm: tốt Mình mua đc hai ngày cái nó xì ra ,ko làm j lủng cug xì",đúng với mô tả khá đúng chất lượng san pham tốt mình mua duoc hai ngày cái nó xì ra khong làm j lủng cug xì,negative,positive,0.42939551468435644,False,product_quality,negative_loi_hong,
5128,"Hương vị: mặn, cay Bao bì/Mẫu mã: như ảnh Đóng gói tốt, giao hàng nhanh. Đối với tôi thì món này khá mặn và cay. Hơi ít sốt bơ với người thích sốt bơ. Không biết mấy cái sợi kia là gì nên chỉ để ảnh thôi ạ. Mua để ủng hộ các bạn chó mèo mà vsatp làm mình hơi quan ngại.",hương vị mặn cay bao bì mẫu mã như ảnh đóng gói tốt giao hàng nhanh đối với tôi thì món này khá mặn và cay hơi ít sốt bơ với người thích sốt bơ khong biết mấy cái sợi kia là gì nên chỉ để ảnh thôi ạ mua để ủng hộ các bạn chó mèo mà vsatp làm mình hơi quan ngại,neutral,positive,0.4295884631899919,False,product_quality,negative_loi_hong,neutral_but_has_clear_negative_signal
5227,"Hương vị: mặn, cay Bao bì/Mẫu mã: như ảnh Đóng gói tốt, giao hàng nhanh. Đối với tôi thì món này khá mặn và cay. Hơi ít sốt bơ với người thích sốt bơ. Không biết mấy cái sợi kia là gì nên chỉ để ảnh thôi ạ. Mua để ủng hộ các bạn chó mèo mà vsatp làm mình hơi quan ngại.",hương vị mặn cay bao bì mẫu mã như ảnh đóng gói tốt giao hàng nhanh đối với tôi thì món này khá mặn và cay hơi ít sốt bơ với người thích sốt bơ khong biết mấy cái sợi kia là gì nên chỉ để ảnh thôi ạ mua để ủng hộ các bạn chó mèo mà vsatp làm mình hơi quan ngại,neutral,positive,0.4295884631899919,False,product_quality,negative_loi_hong,neutral_but_has_clear_negative_signal
