review_id,column,old_value,new_value,review_text
5,sentiment_label,negative,positive,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền"
5,issue_label,material_comfort,wrong_missing_item,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền"
5,secondary_issue,wrong_missing_item,material_comfort,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền"
25,sentiment_label,neutral,positive,"vải gió đen, xanh than đúng theo hình ảnh mới mua lần đầu nhưng sản pham củng khá chat luong"
113,sentiment_label,neutral,positive,"đúng kích thước,đủ số lượng tặng kèm khăn tay trắng. giặt phơi sạch sẽ nha. khăn cotton thấm hút. có nhu cầu sẽ quay lại mua của shop. 1 k"
177,sentiment_label,negative,positive,"nhanh cotton mềm mfu sắc đẹp chất liệu vải êm mềm ,lúc lau mặt không bị rát khó chịu vải dày dặn mình rất thikhông , được gói trong bọc rất tiện lợi khi mag đi hay tặng cho người khác"
203,sentiment_label,neutral,positive,tôi thấy hiệu suất xử lý mọi tác vụ rất mượt mà chụp ảnh và quay video đều sắc nét và rõ chi tiết màn hình độ phân giải cao giúp xem phim chụp hình đều rõ
218,sentiment_label,neutral,positive,"hieeju suaats iphone 17 pro max thif khoir phair banf camr thaasy tuyeejt vowif vowis camera màn hình 120hz nest ddejp ngon lanfh săn được giá tạm, không rớt giá xíu nào luôn é"
246,sentiment_label,neutral,negative,"mua hàng 4/4 và đợi đúng 5-6 ngày mới nhận được, lâu quá. mà trên app hẹn giao hàng ngày 7-4 mà không thấy đâu"
255,sentiment_label,neutral,positive,iphone giá mua qua sàn hợp lý chụp ảnh quay video sắc nét độ phân giải tốc độ xử lí cao
266,sentiment_label,neutral,negative,hàng bản mỹ chứ không phải vn/a. không giới thiệu hay mô tả rõ ràng khiến người mua nhầm lẫn vietell store chỉ bán 100% bản iphone việt nam
270,sentiment_label,negative,positive,hình ảnh chỉ mang tính chất nhận su shop đóng gói nhanh nhưng shipper giao hơi chậm cho shop 5 sao
271,sentiment_label,neutral,positive,"trộm vía lần đầu điện thoại qua sàn, mặc dù đặt khá muộn cận tết nhưng vẫn nhận được hàng sớm, shipper cẩn thận chu đáo"
277,sentiment_label,neutral,positive,"máy mình đã sử dụng được gần 2 tuần, trước mắt không gặp vấn đề gì, dùng mượt mà"
280,sentiment_label,neutral,positive,mua của viettel store nên thấy cũng yên tâm có hoá đơn giao hàng cũng nhanh
284,sentiment_label,negative,positive,"e săn ngày 10/12 giá là 36.290không được hoàn 200không xu nữa, mọi người tham khảo giá để mua nhe"
285,sentiment_label,negative,neutral,hàng không bị lỗi. quay video lại giao hàng để checkhông trước cẩn thận. không biết pin ntn có tuột nhanh không
286,sentiment_label,neutral,positive,"đã mua lần 2 tại shop, mọi việc diễn biến khá suôn sẻ, shop đóng hàng, niêm phong rất có tâm"
289,sentiment_label,neutral,positive,"sản phẩm chính hãng , đã mua và ủng hộ shop nhiều ạ , cảm ơn shop"
297,sentiment_label,positive,negative,chỉ nên mua tại store thôi quay clip không kikp nhìn thấy . đến lúc tắt rồi thì ra tận 3 vết quanh máy
297,issue_label,device_performance,damaged_defective,chỉ nên mua tại store thôi quay clip không kikp nhìn thấy . đến lúc tắt rồi thì ra tận 3 vết quanh máy
302,sentiment_label,positive,negative,phù hợp với giá tiền nghe giá hợp với sản phẩm tuy vậy dây sạc thì để cong thời gian quá lâu hay sao ấy. khi mở dây ra dù đã cố để cho thẳng rồi sau đó mới sạc nhưng dây sạc không vào điện với hộp sạc bởi vậy tui phải lấy dây của tui để thay vào dây sạc có sẵn trong hộp 1 t
302,issue_label,audio_quality,battery_charging,phù hợp với giá tiền nghe giá hợp với sản phẩm tuy vậy dây sạc thì để cong thời gian quá lâu hay sao ấy. khi mở dây ra dù đã cố để cho thẳng rồi sau đó mới sạc nhưng dây sạc không vào điện với hộp sạc bởi vậy tui phải lấy dây của tui để thay vào dây sạc có sẵn trong hộp 1 t
305,sentiment_label,positive,negative,"ổn chống ồn, thiết kế lạ, pin tốt mới đầu xài ngon nha, vừa chống ồn vừa pin lâu mà âm thanh ngon nữa. nhm xài được 1 tháng đang thấy có vấn đề là hơi dựt dựt với hay tự tít tắt nhạc không hỉu sao. nch tiền nào của nấy hui"
305,issue_label,audio_quality,connectivity_bluetooth,"ổn chống ồn, thiết kế lạ, pin tốt mới đầu xài ngon nha, vừa chống ồn vừa pin lâu mà âm thanh ngon nữa. nhm xài được 1 tháng đang thấy có vấn đề là hơi dựt dựt với hay tự tít tắt nhạc không hỉu sao. nch tiền nào của nấy hui"
306,sentiment_label,positive,negative,"đóng gói cẩn thận đẹp trung bình điểm đáng khen đó em này là đóng gói hộp khá là dày dặn, đẹp, có hướng, dẫn nhãn dán. mình đọc đánh giá thì thấy có một số bạn là bảo âm thanh nhỏ thì mình hoàn toàn thấy là nó không có nhỏ nha, chạy xe máy bật max âm thanh là không nghe tiếng động cơ xe luôn ấy chứ nhỏ gì. mình thấy khi nhấn vào mặt tai nghe thì nó có chức năng dừng phát, chuyển tiếp video thì mình thấy khá là thông minh chỉ sử dụng bên youtube . mình thấy khuyết điểm của em này đó là mình đã sạc pin từ sáng cho đến trưa nhưng khi mình nghe tầm được 30 phút hay là một tiếng thì bên tai nghe bên trái nó kêu tút tút rồi ngắt kết nối. mình và ứng dụng coi thì thấy tai nghe bên trái còn 16% lúc nào cx dưới 20% , mặc dù mình sạc khá lâu. trên app thì mình thấy nó báo pin bị sai lúc thì 96% để lại vào hợp rồi lấy ra lại thì lại còn 67%, không bt khi nào hết pin khi nào đầy luôn. không chỉ là pin bị sai mà mình nghe khoảng một lúc thì tự nhiên nó lại tự động bị ngắt kết nối mặc dù còn 60-70 mấy % luôn mình không hiểu là bị gì nữa. với giá 289không thì mình nghĩ bỏ thêm vài chục mua loại khác sẽ tốt hơn"
306,issue_label,audio_quality,battery_charging,"đóng gói cẩn thận đẹp trung bình điểm đáng khen đó em này là đóng gói hộp khá là dày dặn, đẹp, có hướng, dẫn nhãn dán. mình đọc đánh giá thì thấy có một số bạn là bảo âm thanh nhỏ thì mình hoàn toàn thấy là nó không có nhỏ nha, chạy xe máy bật max âm thanh là không nghe tiếng động cơ xe luôn ấy chứ nhỏ gì. mình thấy khi nhấn vào mặt tai nghe thì nó có chức năng dừng phát, chuyển tiếp video thì mình thấy khá là thông minh chỉ sử dụng bên youtube . mình thấy khuyết điểm của em này đó là mình đã sạc pin từ sáng cho đến trưa nhưng khi mình nghe tầm được 30 phút hay là một tiếng thì bên tai nghe bên trái nó kêu tút tút rồi ngắt kết nối. mình và ứng dụng coi thì thấy tai nghe bên trái còn 16% lúc nào cx dưới 20% , mặc dù mình sạc khá lâu. trên app thì mình thấy nó báo pin bị sai lúc thì 96% để lại vào hợp rồi lấy ra lại thì lại còn 67%, không bt khi nào hết pin khi nào đầy luôn. không chỉ là pin bị sai mà mình nghe khoảng một lúc thì tự nhiên nó lại tự động bị ngắt kết nối mặc dù còn 60-70 mấy % luôn mình không hiểu là bị gì nữa. với giá 289không thì mình nghĩ bỏ thêm vài chục mua loại khác sẽ tốt hơn"
307,sentiment_label,positive,negative,"sản phẩm okie, màu dễ cưng, bao bì sang xịn. nhưng mà đeo lâu hơi đau tai. với cái vụ hiển thị pin cũng kỳ kỳ giống như các bạn khác đánh giá. update xài chưa được 1 tháng, chưa tới 5 lần mà hư lun cái tai nghe bên trái. pin thì sạc cỡ nào vẫn hiện đỏ."
307,issue_label,audio_quality,damaged_defective,"sản phẩm okie, màu dễ cưng, bao bì sang xịn. nhưng mà đeo lâu hơi đau tai. với cái vụ hiển thị pin cũng kỳ kỳ giống như các bạn khác đánh giá. update xài chưa được 1 tháng, chưa tới 5 lần mà hư lun cái tai nghe bên trái. pin thì sạc cỡ nào vẫn hiện đỏ."
308,sentiment_label,positive,negative,chất lương thì okhông nhưng giao hàng cực lâu.... hơn 2 tháng .... định không nhận hàng nữa rồi cơ. 2 t t
310,sentiment_label,positive,negative,"kết nối chập chờn, kết nối từ đt chỉ tìm thấy 1 bên tai. không kết nối được tai còn lại. ngoại hình đẹp. hộp sạc hít nam châm không lo rơi tai nghe. pin lên xuống thất thường. nhận hàng được 1 tuần nhưng chưa khi nào kết nối được cả 2 tai nên không biết pin tối đa bao lâu"
312,sentiment_label,positive,negative,"chất lượng tương xứng với giá tiền. mình nghe thấy âm lượng nhỏ, nghe 15-20 là thấy hơi đau tai. mới mua thì 1 bên không sử dụng được rồi. độ nhạy cũng không tốt lắm, vẫn nên mua 1 cái khác đắt 1 tí mà chất lượng hơn, như thế tiết kiệm hơn á."
313,sentiment_label,positive,negative,"giao nhanh, săn được với giá 18không nhưng mà nghe được thời gian đầu rất okhông còn thời gian sau kết nối không vào, chỉ nghe được 1 bên rất chán"
314,sentiment_label,positive,negative,"về hộp tai nghe được đóng trong hộp giấy chắc chắn. không bao gồm bộ thay lõi tai nghe silicon tổng quan sản phẩm sử dụng ổn, hay bị ngắt quãng đang sử dụng thì âm thanh bị ngắt khoảng 2s rồi lại bthg , htrc 1 tai có không sử dụng được nên mình reset lại và bthg.đeo lâu khá đau tai, các âm không tốt như nghe loa ngoài. cách âm ổn"
316,sentiment_label,positive,negative,"tốt tai nghe ổn, thời gian lâu, nhỏ gọn trừ sao vì mỗi lần chỉ nghe được 1 bên, nếu sử dụng cả 2 thì nghe được bên phải nhưng khi để bên phải vào sạc thì bên trái mới nghe được"
318,sentiment_label,positive,negative,"giao hàng nhanh dù là hàng quốc tế nhưng 7 ngày đã có hàng, theo mình màu hồng là màu đẹp nhất trong tất cả các màu. đây là cái tai nghe thứ 6 mà mình đã mua và hình như chất lượng ngày càng giảm đi, cái đầu tiên mua cách đây 1 năm thì âm thanh rất to, còn 5 cái gần đây thì âm thanh rất nhỏ"
322,sentiment_label,neutral,negative,"không kết nối được với điện thoại. hướng dẫn không rõ ràng. trong hướng dẫn ghi là nhấn giữ 3 giây để khởi động nhưng giữ xong vẫn không kết nối được. sửa không phải không kết nối được mà phải vào tận phần cài đặt mới thấy hiển thị tên tai nghe để kết nối, chứ không hiện ra màn hình ngay"
322,issue_label,audio_quality,connectivity_bluetooth,"không kết nối được với điện thoại. hướng dẫn không rõ ràng. trong hướng dẫn ghi là nhấn giữ 3 giây để khởi động nhưng giữ xong vẫn không kết nối được. sửa không phải không kết nối được mà phải vào tận phần cài đặt mới thấy hiển thị tên tai nghe để kết nối, chứ không hiện ra màn hình ngay"
326,sentiment_label,positive,neutral,"có nam châm hít,sạc đầy xài 5 ngày chưa hết pin.hộp nhỏ gọn.nhưng không có bộ nút tai thay thế? mua giá cũng 239k.đeo nghe chơi tập thể dục hay coi phim thì được chứ nghe thưởng thức thì không nha.treble chói,âm nhỏ nên phải bật max,đeo chụp ảnh cũng không đẹp.không hiển thị pin,khá bất tiện 4 x"
330,sentiment_label,positive,neutral,nghe được. chưa dùng lâu không biết thế nào nhưng thấy cái vỏ không giống loại mua ở shop mall việt nam. vỏ có vẻ không xịn bằng hộp cũ màu tím
331,sentiment_label,negative,neutral,"nghe cũng tạm được mọi người thử mua rồi đánh giá nha, màu xinh"
333,sentiment_label,positive,negative,"nghe được hơn tuần thì hay bị giựt giựt, meeting thì thôi rồi luôn, bị ngắt quãng liên tục., khoảng cách 5m có tường chắn thì hay bị mất kết nối, bass tốt chứ không sâu, các dãy khác không có gì nổi bật, pin trâu"
335,sentiment_label,positive,neutral,"bình thường hộp sạc quá yếu, xài rất sợ bị gãy . pin thì không quá trâu đâu thấy nó bình thường à, nếu 1 ngày bạn xài 2,3 tiếng thì okhông còn người hay đi du lịch mà vừa đi vừa nghe nhạc thì nên đem theo xạc dự phòng or dây sạc. - âm thanh dành cho bạn nào không quá kén chất âm, mà chỉ để đeo nghe tiếng thôi cũng được . không biết mấy bạn sao chứ mình sạc full xài trong 3 ngày là sạc rồi đó là mình ở nhà không đi chơi đó nghen. còn đi chơi thì đeo 1 ngày là hết pin trong ngày luôn tai nghe chỉ dành để nghe được thôi. nó chỉ ở mức trung bình còn muốn để nghe nhạc hay thì nên mua air pod hoặc tai nghe của lg để nghe những bản nhạc sâu lắng."
339,sentiment_label,neutral,negative,"chưa rõ ạ chưa rõ ạ shop giao đúng sản phẩm tôi đặt mà tôi chưa biết cách kết nối ạ,tôi bật bluetooth mà không có kết nối được"
340,sentiment_label,neutral,negative,"có khả năng chống ồn sau khi sạc lần đầu không nghe được tai bên phải, không biết bị gì...?"
344,sentiment_label,positive,negative,"tạm chất lượng âm thanh rất bình thường mình mua lúc sale nên cũng rẻ chứ giá tai nghe chưa sale với chất lượng như vậy là mắc. tai nghe của mình có một bên nhạy hơn bên còn lại, bên còn lại lúc sạc phải lấy tay ấn vào rồi chỉnh chỉnh nó mới vào điện mà cũng nhanh hết pin hơn, nghe nhạc chỉ ở mức nghe được thôi chứ đòi nghe hay rõ bass rồi âm trong thì không có đâu. mà á tai nghe của mình còn thường xuyên tự kết nối với điện thoại cơ, rất dở lắm lúc phát bực! nói chung mình sẽ không mua lại, thấy nhiều đánh giá 5 sao quá nên mình bị kì vọng nhiều hơn thực tế sản phẩm hoặc do mình xui nhận tai nghe chất lựợng không bằng mọi người"
346,sentiment_label,neutral,negative,chờ 1 tháng mới nhận được hàng hàng và nghe chưa được 1 giờ hiện tại cắm sạc pin nhưng không vào pin. nhắn shop nhưng không trả lời 3 men men
347,sentiment_label,positive,neutral,"nghe cũng tạm tai nghe ổn trong tầm giá rẻ, nghe hơi xe xé, không hay bằng tai nghe nikkin go pro của việt nam nghe êm và đỉnh hơn việt nam mãi đỉnh!"
351,sentiment_label,positive,negative,"có một sự thật là càng sản xuất về sau chất lượng càng không okhông như trước ý ạ. 2 đứa bạn mình mua 2 đợt trước đó và giờ mình mua thì từ chất lượng hộp ngoài, vỏ tai nghe, âm thanh các thứ là đều đi xuống, nghe không còn đã như những chiếc trước đó nữa. đáng buồn đó ạ dù số tiền bỏ ra là tương đương nhau, cùng một sự tin tưởng là có một chiếc tai nghe okhông như chiếc của bạn mình trong mức giá này nữa"
354,sentiment_label,positive,negative,"không quá tốt như nhiều b review như review, không có chức năng cảm ứng tăng giảm âm lượng, thỉnh thoảng không nghe được"
357,sentiment_label,positive,negative,"tai nghe tạm ổn, tiền nào của đó, 1 2 cuộc gọi đầu đàm thoại tốt về sau rè khó nghe, nghe nhạc khi thì hay bị mất kết nối 2 tai hoặc mất kết tai phải hoặc tai trái"
360,sentiment_label,positive,negative,"hàng quốc tế nên giao hơi lâu, đóng gói sản phẩm chắc chắn nhưng mới dùng được mấy hôm thì tai nghe bên trái sạc không vào pin"
360,issue_label,audio_quality,battery_charging,"hàng quốc tế nên giao hơi lâu, đóng gói sản phẩm chắc chắn nhưng mới dùng được mấy hôm thì tai nghe bên trái sạc không vào pin"
361,sentiment_label,positive,neutral,"cách âm tốt bình thường giao hàng nhanh nhưng đóng gói không cẩn thận, mình nhận đơn mà cái hộp tai nghe bị ẩm, may mà tai nghe vẫn dùng được"
361,issue_label,audio_quality,packaging,"cách âm tốt bình thường giao hàng nhanh nhưng đóng gói không cẩn thận, mình nhận đơn mà cái hộp tai nghe bị ẩm, may mà tai nghe vẫn dùng được"
367,sentiment_label,positive,negative,"ổn ạ kết nối với máy khá nhạy mình đặt được hơn tháng rồi và thấy ổn ạ, sau khoảng thời gian sử dụng không hiểu sao tai nghe của mình cứ bị ngắt quãng khi nghe ấy"
370,sentiment_label,neutral,negative,"không biết sao mà mua về mình chỉ nghe được âm thanh có 1 bên tai thôi, bên còn lại thì không nghe thấy gì, cũng chưa biết tại sao nữa, mong shop hồi đáp"
374,sentiment_label,neutral,negative,"kết nối bluetooth với đt của m realme 5i không tốt. nghe được 1 tg bị tự ngắt, lúc tự ngắt kết nối- lúc tự tắt phát âm lượng media chỉ bật phát call mỗi lần nghe m phải kết nối lại chứ không tự động kết nối. chưa rõ do đt m hay sản phẩm nhưg trải nghiệm của m không như mong đợi dù thấy mọi người đều khen. xui quá huu 3 van linh"
376,sentiment_label,positive,negative,sản phẩm chất âm ổn nhưng cổng sạc bị lệnh nên không thể đánh giá hoàn hảo 5 được giá cũng không quá đắt nên cho 3 mong shop lựa chọn sản phẩm tốt hơn
378,sentiment_label,positive,negative,mua lần đầu sài okla quá chừng vậy mầu lần tiếp theo nó chập 1 bên tai. chưa giải quyết vấn đề với shop xong nên khá bực
380,sentiment_label,negative,neutral,"âm thanh nhỏ nhưng nghe cũng ổn, nhược điểm là mình chả biết khi nào hết pin"
381,sentiment_label,negative,neutral,"tai nghe ổn, pin khá trâu. đôi khi mất kết nối 1 bên tay và kết nối cũng hơi chậm, nắp khá lỏng lẻo, săn sale giá này ổn rồi"
